No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3test4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
29073 3 -Switched Freq from f_2200 to: f_1200
29105 1 -Switched Freq from f_1200 to: f_2200
29186 2 -Switched Freq from f_2200 to: f_1200
29232 1 -Switched Freq from f_1200 to: f_2200
29392 4 -Switched Freq from f_2200 to: f_1200
29584 5 -Switched Freq from f_1200 to: f_2200
29712 3 -Switched Freq from f_2200 to: f_1200
29864 4 -Switched Freq from f_1200 to: f_2200
30038 4 -Switched Freq from f_2200 to: f_1200
30068 1 -Switched Freq from f_1200 to: f_2200
30225 4 -Switched Freq from f_2200 to: f_1200
30351 3 -Switched Freq from f_1200 to: f_2200
30391 1 -Switched Freq from f_2200 to: f_1200
30424 1 -Switched Freq from f_1200 to: f_2200
30478 1 -Switched Freq from f_2200 to: f_1200
30507 1 -Switched Freq from f_1200 to: f_2200
30545 1 -Switched Freq from f_2200 to: f_1200
30631 2 -Switched Freq from f_1200 to: f_2200
30671 1 -Switched Freq from f_2200 to: f_1200
30704 1 -Switched Freq from f_1200 to: f_2200
30831 3 -Switched Freq from f_2200 to: f_1200
30864 1 -Switched Freq from f_1200 to: f_2200
30991 3 -Switched Freq from f_2200 to: f_1200
31183 5 -Switched Freq from f_1200 to: f_2200
31310 3 -Switched Freq from f_2200 to: f_1200
31343 1 -Switched Freq from f_1200 to: f_2200
31397 1 -Switched Freq from f_2200 to: f_1200
31427 1 -Switched Freq from f_1200 to: f_2200
31630 5 -Switched Freq from f_2200 to: f_1200
31663 1 -Switched Freq from f_1200 to: f_2200
31717 1 -Switched Freq from f_2200 to: f_1200
31747 1 -Switched Freq from f_1200 to: f_2200
31783 1 -Switched Freq from f_2200 to: f_1200
31830 1 -Switched Freq from f_1200 to: f_2200
31917 2 -Switched Freq from f_2200 to: f_1200
31947 1 -Switched Freq from f_1200 to: f_2200
31983 1 -Switched Freq from f_2200 to: f_1200
32070 2 -Switched Freq from f_1200 to: f_2200
32156 2 -Switched Freq from f_2200 to: f_1200
32266 3 -Switched Freq from f_1200 to: f_2200
32349 2 -Switched Freq from f_2200 to: f_1200
32434 2 -Switched Freq from f_1200 to: f_2200
32596 4 -Switched Freq from f_2200 to: f_1200
32666 2 -Switched Freq from f_1200 to: f_2200
32796 3 -Switched Freq from f_2200 to: f_1200
32906 3 -Switched Freq from f_1200 to: f_2200
32942 1 -Switched Freq from f_2200 to: f_1200
32990 1 -Switched Freq from f_1200 to: f_2200
33029 1 -Switched Freq from f_2200 to: f_1200
33062 1 -Switched Freq from f_1200 to: f_2200
33235 4 -Switched Freq from f_2200 to: f_1200
33346 3 -Switched Freq from f_1200 to: f_2200
33382 1 -Switched Freq from f_2200 to: f_1200
33549 4 -Switched Freq from f_1200 to: f_2200
33588 1 -Switched Freq from f_2200 to: f_1200
33633 1 -Switched Freq from f_1200 to: f_2200
33675 1 -Switched Freq from f_2200 to: f_1200
33706 1 -Switched Freq from f_1200 to: f_2200
33741 1 -Switched Freq from f_2200 to: f_1200
33829 2 -Switched Freq from f_1200 to: f_2200
33868 1 -Switched Freq from f_2200 to: f_1200
34073 5 -Switched Freq from f_1200 to: f_2200
34188 3 -Switched Freq from f_2200 to: f_1200
34233 1 -Switched Freq from f_1200 to: f_2200
34348 3 -Switched Freq from f_2200 to: f_1200
34512 4 -Switched Freq from f_1200 to: f_2200
34581 2 -Switched Freq from f_2200 to: f_1200
34669 2 -Switched Freq from f_1200 to: f_2200
34707 1 -Switched Freq from f_2200 to: f_1200
34832 3 -Switched Freq from f_1200 to: f_2200
34874 1 -Switched Freq from f_2200 to: f_1200
34945 2 -Switched Freq from f_1200 to: f_2200
35000 1 -Switched Freq from f_2200 to: f_1200
35148 4 -Switched Freq from f_1200 to: f_2200
35187 1 -Switched Freq from f_2200 to: f_1200
35232 1 -Switched Freq from f_1200 to: f_2200
35273 1 -Switched Freq from f_2200 to: f_1200
35305 1 -Switched Freq from f_1200 to: f_2200
35340 1 -Switched Freq from f_2200 to: f_1200
35428 2 -Switched Freq from f_1200 to: f_2200
35466 1 -Switched Freq from f_2200 to: f_1200
35512 1 -Switched Freq from f_1200 to: f_2200
35553 1 -Switched Freq from f_2200 to: f_1200
35624 2 -Switched Freq from f_1200 to: f_2200
35799 4 -Switched Freq from f_2200 to: f_1200
35828 1 -Switched Freq from f_1200 to: f_2200
35866 1 -Switched Freq from f_2200 to: f_1200
35912 1 -Switched Freq from f_1200 to: f_2200
35999 2 -Switched Freq from f_2200 to: f_1200
36108 3 -Switched Freq from f_1200 to: f_2200
36192 2 -Switched Freq from f_2200 to: f_1200
36264 2 -Switched Freq from f_1200 to: f_2200
36319 1 -Switched Freq from f_2200 to: f_1200
36428 3 -Switched Freq from f_1200 to: f_2200
36465 1 -Switched Freq from f_2200 to: f_1200
36511 1 -Switched Freq from f_1200 to: f_2200
36552 1 -Switched Freq from f_2200 to: f_1200
36584 1 -Switched Freq from f_1200 to: f_2200
36639 1 -Switched Freq from f_2200 to: f_1200
36707 2 -Switched Freq from f_1200 to: f_2200
36745 1 -Switched Freq from f_2200 to: f_1200
36791 1 -Switched Freq from f_1200 to: f_2200
